Model,Model Slug,Creator,License,"Context
 Window",Access Date on AA,"Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,IFBench,LCR,Terminal-Bench Hard,___-Bench Telecom,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 49,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,gpqa_epochs,cache_read_gpqa,cache_output_gpqa,gpqa_reasoning_tokens,gpqa_reasoning_in_output,total_tokens_?,Notes GPQA,inspect log,input tokens swe,output tokens swe,cache reads swe,cache write swe,cache_in_input,cache_in_output,reasoning swe,reasoning_in_output_swe,total,epoch_swe,swe_inspect_log,notes swe,Unnamed: 74,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,cache_read_cost,cache_write_cost,Notes.1,input tokens AIME,output tokens AIME,AIME_reasoning,reasoning_in_output,AIME_epochs,epoch_8_input,epoch_8_output,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,model_graded_AIME,oneshot_AIME,grader_tokens_input,grader_tokens_output,notes,Inspect Log,HAL/GAIA Generalist Agent,HAL/GAIA Deep Research Scaffold,Unnamed: 105,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
Phi-3 Medium 14B 08/01/2024,,,Open,128k,,25,54%,33%,5%,15%,12%,,46%,1%,,1123.0,,,,,,51.9,17.6,49.9,53.2,54.5,0.44,0.44,0.37,0.42,0.55,0.67,10.08,0.0,,ModelProviders,08/01/2024,14.0,,0.4,51.0,False,I assume there is only one phi 3 medium,,938128.0,1686484.0,27.60%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.022965355,0.14
Gemma 2 9B 07/01/2024,,,Open,8k,,22,50%,31%,4%,13%,1%,88%,52%,0%,,1190.0,,,,,,,,,,,,,,,,,,,,ModelProviders,07/01/2024,9.0,,0.21,729.0,False,9,,837808.0,1006493.0,27.46%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,214560,,,8.0,69336,214560,,,,0.60%,,0.60%,248805,1436.0,2.00%,,,,,0.2,0.2,0.023053762499999998,0.2
Gemma 2 9B 08/01/2024,,,Open,8k,,22,50%,31%,4%,13%,1%,88%,52%,0%,,1190.0,,,,,,,,,,,,,,,,,,,,ModelProviders,08/01/2024,9.0,,0.21,729.0,False,9,,837808.0,1006493.0,27.46%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,214560,,,8.0,69336,214560,,,,0.60%,,0.60%,248805,1436.0,2.00%,,,,,0.09,0.09,0.010374193125,0.09
Gemma 2 9B 12/01/2024,,,Open,8k,,22,50%,31%,4%,13%,1%,88%,52%,0%,,1190.0,,,,,,,,,,,,,,,,,,,,ModelProviders,12/01/2024,9.0,,0.21,729.0,False,9,,837808.0,1006493.0,27.46%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69336,214560,,,8.0,69336,214560,,,,0.60%,,0.60%,248805,1436.0,2.00%,,,,,0.02,0.06,0.004821608749999999,0.03
Ministral 8B 11/01/2024,,,Open,128k,,22,39%,28%,5%,11%,12%,85%,57%,4%,,1183.0,,,,,,144.7,27.0,110.0,147.2,152.7,0.38,0.38,0.26,0.32,0.52,0.89,3.83,0.0,,ModelProviders,11/01/2024,8.0,,0.28,192.0,,8,,821088.0,1651605.0,27.14%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.01545433125,0.1
Llama 2 Chat 70B 05/01/2024,,,Open,4k,,,41%,33%,5%,10%,,,32%,,,1093.0,,,,,,,,,,,,,,,,,,,,ModelProviders,05/01/2024,70.0,,,,,epoch list this as llama 2 chat 70b hf,,956816.0,1361586.0,26.32%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148464,553383,,,16.0,74232,276691.5,,0.00%,0.00%,,,0.00%,587969,2880.0,,,,,,0.6,0.8,0.10395990000000001,0.6499999999999999
Llama 3 8B 04/01/2024,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,04/01/2024,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FiT3BBFWjsZk2rKHKeJDsM8.eval,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.05,0.1,0.009873956250000001,0.0625
Llama 3 8B 05/01/2024,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,05/01/2024,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FiT3BBFWjsZk2rKHKeJDsM8.eval,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.05,0.08,0.008431135000000001,0.05750000000000001
Llama 3 8B 07/01/2024,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,07/01/2024,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FiT3BBFWjsZk2rKHKeJDsM8.eval,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.05,0.06,0.006988313750000001,0.052500000000000005
Llama 3 8B 12/01/2024,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,12/01/2024,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FiT3BBFWjsZk2rKHKeJDsM8.eval,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.03,0.06,0.00592437375,0.0375
Llama 3 8B 05/01/2025,,,Open,8k,,21,41%,30%,5%,10%,12%,72%,50%,0%,,1152.0,,,,,,82.3,41.6,73.5,147.7,"1,352.90",0.37,0.37,0.22,0.3,0.53,0.92,6.45,0.0,,ModelProviders,05/01/2025,8.0,,0.22,1344.0,False,epoch list this llama3 8B instruct,,851152.0,1154257.0,26.07%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FiT3BBFWjsZk2rKHKeJDsM8.eval,,,,,,,,,,,,,,,,,,,,,,134032,476149,,,16.0,67016,238074.5,,0.80%,67.00%,,,0.80%,570474,2868.0,,,,,,0.03,0.04,0.0044815524999999995,0.0325
Llama 3.1 8B 07/01/2024,,,Open,128k,,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,,,,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,07/01/2024,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,3998566,,,16.0,63056,1999283,,2.50%,4.40%,,,2.50%,4482402,2844.0,,,,,,0.05,0.08,0.018492414999999998,0.05750000000000001
Llama 3.1 8B 04/01/2025,,,Open,128k,,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,,,,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,04/01/2025,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,3998566,,,16.0,63056,1999283,,2.50%,4.40%,,,2.50%,4482402,2844.0,,,,,,0.02,0.04,0.0089564775,0.025
Llama 3.1 8B 09/01/2025,,,Open,128k,,24,48%,26%,5%,12%,13%,,52%,8%,61%,1172.0,,,,,,138.2,51.0,72.5,455.8,"2,131.20",0.38,0.38,0.16,0.24,0.53,0.96,3.99,0.0,,ModelProviders,09/01/2025,8.0,,0.14,2268.0,,8,,927136.0,3119023.0,25.94%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,3998566,,,16.0,63056,1999283,,2.50%,4.40%,,,2.50%,4482402,2844.0,,,,,,0.01,0.02,0.00447823875,0.0125
Ministral 3B 11/01/2024,,,Proprietary,128k,,20,34%,26%,6%,7%,9%,93%,54%,0%,,,,,,,,217.7,17.9,95.6,237,243.7,0.33,0.33,0.25,0.28,0.51,1.48,2.63,0.0,,ModelProviders,11/01/2024,3.0,,,,,3,,821168.0,1512378.0,25.25%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.005833865000000001,0.04
Mistral 7B 07/01/2024,,,Open,8k,,10,25%,18%,4%,5%,2%,16%,12%,0%,,1008.0,,,,,,102.3,14.1,61.6,111.9,115.5,0.45,0.45,0.26,0.32,0.6,1.28,5.34,0.0,,ModelProviders,07/01/2024,7.0,,,,False,7,,928336.0,1433848.0,13.20%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.06,0.008277979999999999,0.052500000000000005
Mistral 7B 12/01/2024,,,Open,8k,,10,25%,18%,4%,5%,2%,16%,12%,0%,,1008.0,,,,,,102.3,14.1,61.6,111.9,115.5,0.45,0.45,0.26,0.32,0.6,1.28,5.34,0.0,,ModelProviders,12/01/2024,7.0,,,,False,7,,928336.0,1433848.0,13.20%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.06,0.007117559999999999,0.0375
Mistral 7B 09/01/2025,,,Open,8k,,10,25%,18%,4%,5%,2%,16%,12%,0%,,1008.0,,,,,,102.3,14.1,61.6,111.9,115.5,0.45,0.45,0.26,0.32,0.6,1.28,5.34,0.0,,ModelProviders,09/01/2025,7.0,,,,False,7,,928336.0,1433848.0,13.20%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.05,0.006221405,0.035
